party,mp,mp_page,house,position,body,date,current_former,data_set,title,start_date,end_date,date_scraped
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,Standing Committee on Finance (National Assembly Committees),since 27th June 2019,current,position,Ms,2019-06-27,NA,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,National Assembly (Parliament),since 22nd May 2019,current,position,Ms,2019-05-22,NA,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,African National Congress (ANC) (Party),,current,position,Ms,NA,NA,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,103rd Candidate,African National Congress National Election List 2019 (Election List),from 23rd April 2019 until 8th May 2019,former,position,Ms,2019-04-23,2019-05-08,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,54th Candidate,African National Congress Provincial Eastern Cape Election List 2019 (Election List),from 23rd April 2019 until 8th May 2019,former,position,Ms,2019-04-23,2019-05-08,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,Standing Committee on Finance (National Assembly Committees),from 28th August 2018 until 7th May 2019,former,position,Ms,2018-08-28,2019-05-07,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,National Assembly (Parliament),from 14th August 2018 until 7th May 2019,former,position,Ms,2018-08-14,2019-05-07,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,Eastern Cape Provincial Legislature (Provincial-Legislature),from 21st May 2014 until 13th August 2018,former,position,Ms,2014-05-21,2018-08-13,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member-elect,Eastern Cape Provincial Legislature (Provincial-Legislature),from 16th May 2014 until 21st May 2014,former,position,Ms,2014-05-16,2014-05-21,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,8th Candidate,African National Congress Provincial Eastern Cape Election List 2014 (Election List),from 22nd April 2014 until 7th May 2014,former,position,Ms,2014-04-22,2014-05-07,2024-05-28
ANC,"Abraham,  PN",https://www.pa.org.za/person/noxolo-abraham-ntantiso/,national-assembly,Member,Eastern Cape Provincial Legislature (Provincial-Legislature),until 6th May 2014,former,position,Ms,NA,2014-05-06,2024-05-28
DA,"Abrahams,  ALA",https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/,national-assembly,Member,Portfolio Committee on Social Development (National Assembly Committees),since 7th December 2020,current,position,Ms,2020-12-07,NA,2024-05-28
DA,"Abrahams,  ALA",https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/,national-assembly,Constituency Head,DA Constituency Area: Tygerberg 1 (Constituency Area),since 1st June 2019,current,position,Ms,2019-06-01,NA,2024-05-28
DA,"Abrahams,  ALA",https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/,national-assembly,Member,National Assembly (Parliament),since 22nd May 2019,current,position,Ms,2019-05-22,NA,2024-05-28
DA,"Abrahams,  ALA",https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/,national-assembly,Member,Democratic Alliance (DA) (Party),,current,position,Ms,NA,NA,2024-05-28
DA,"Abrahams,  ALA",https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/,national-assembly,Alternate Member,Portfolio Committee on Social Development (National Assembly Committees),from 27th June 2019 until 7th December 2020,former,position,Ms,2019-06-27,2020-12-07,2024-05-28
DA,"Abrahams,  ALA",https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/,national-assembly,3rd Candidate,Democratic Alliance Regional Western Cape Election List 2019 (Election List),from 23rd April 2019 until 8th May 2019,former,position,Ms,2019-04-23,2019-05-08,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,Member,"Portfolio Committee on Sport, Arts and Culture (National Assembly Committees)",since 27th June 2019,current,position,Ms,2019-06-27,NA,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,Member,National Assembly (Parliament),since 22nd May 2019,current,position,Ms,2019-05-22,NA,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,Member,African National Congress (ANC) (Party),,current,position,Ms,NA,NA,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,105th Candidate,African National Congress National Election List 2019 (Election List),from 23rd April 2019 until 8th May 2019,former,position,Ms,2019-04-23,2019-05-08,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,Member,Committee On Auditor-General (Committee),from 23rd May 2017 until 7th May 2019,former,position,Ms,2017-05-23,2019-05-07,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,Alternate Member,Portfolio Committee on Health (National Assembly Committees),from 23rd May 2017 until 7th May 2019,former,position,Ms,2017-05-23,2019-05-07,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,Member,National Assembly (Parliament),from 4th May 2017 until 7th May 2019,former,position,Ms,2017-05-04,2019-05-07,2024-05-28
ANC,"Adams,  R C",https://www.pa.org.za/person/rachel-cecilia-adams/,national-assembly,138th Candidate,African National Congress National Election List 2014 (Election List),from 22nd April 2014 until 7th May 2014,former,position,Ms,2014-04-22,2014-05-07,2024-05-28
ANC,"Adoons,  NG",https://www.pa.org.za/person/nombuyiselo-gladys-adoons/,national-assembly,Member,Portfolio Committee on Basic Education (National Assembly Committees),since 27th June 2019,current,position,Ms,2019-06-27,NA,2024-05-28
ANC,"Adoons,  NG",https://www.pa.org.za/person/nombuyiselo-gladys-adoons/,national-assembly,Member,National Assembly (Parliament),since 22nd May 2019,current,position,Ms,2019-05-22,NA,2024-05-28
ANC,"Adoons,  NG",https://www.pa.org.za/person/nombuyiselo-gladys-adoons/,national-assembly,Constituency Contact,ANC Constituency Office : Maquassi Hills (Wolmaranstad) (Constituency Office),,current,position,Ms,NA,NA,2024-05-28
